ISO,Country,Data source,Sector,Gas,Unit,Year,Value
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2018,2.69
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2018,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2018,1.11
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2018,0.99
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2018,0.66
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2018,0.39
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2018,0.42
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2018,0.25
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2017,598.14
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2017,486.43
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2017,218.72
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2017,217.85
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2017,131.65
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2017,128.99
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2017,99.1
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2017,139.0
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2017,98.14
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2017,135.04
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2017,105.63
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2017,35.06
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2017,28.97
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2017,6.08
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2017,3.03
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2017,3.06
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2017,2.66
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2017,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2017,0.78
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2017,0.93
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2017,0.61
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2017,0.36
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2017,0.42
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2017,0.09
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2016,565.25
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2016,455.27
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2016,207.25
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2016,206.45
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2016,129.47
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2016,126.83
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2016,86.28
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2016,131.98
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2016,85.38
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2016,128.1
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2016,103.93
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2016,34.58
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2016,28.71
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2016,6.05
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2016,2.97
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2016,2.84
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2016,2.63
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2016,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2016,0.72
